"('not yet another barbecue sauce', 'Malty')"
"('easy meatball soup', 'Hoppy')"
"('put the lime in the coconut cake', 'Specialty')"
"('basque garlic and bread soup   sopa de ajo', 'Malty')"
"('mexican chicken bake  easy chilaquiles', 'Hoppy')"
"('old fashion berry cobbler', 'Specialty')"
"('baked herbed chicken breasts', 'Fruity/Spicy')"
"('chili infused vodka', 'Hoppy')"
"('coconut ginger blondies', 'Fruity/Spicy')"
"('lemon lime bars', 'Hoppy')"
"('chicken in onion buttermilk gravy   slow cooker', 'Rich/Hearty')"
"('banana and dulce de leche pie', 'Specialty')"
"('vanilla sugared almonds', 'Specialty')"
"('turkey taco soup', 'Specialty')"
"('spicy eggplant and green bean curry', 'Hoppy')"
"('yummy cheesy chicken', 'Hoppy')"
"('best roasted corn on the cob', 'Crisp')"
"('cream  of mushroom soup', 'Hoppy')"
"('easy ham and potato casserole', 'Specialty')"
"('soy pickled jalapenos', 'Hoppy')"
"('tuna balls', 'Crisp')"
"('lemon butter broccoli spears', 'Hoppy')"
"('peruvian chicken soup', 'Malty')"
"('magic chocolate pudding', 'Roasty')"
"('german chocolate cake with coconut pecan sauce', 'Specialty')"
"('cinnamon cream cheese roll ups', 'Specialty')"
"('chocolate peppermint stars', 'Specialty')"
"('maple prune nut bread   breadmaker 1 1 2 lb  loaf', 'Malty')"
"('like that sweet curry salad dressing', 'Malty')"
"('crock pot glazed pork roast with carrots and corn', 'Malty')"
"('honey sriracha chicken appetizer toasts', 'Malty')"
"('armenian cheese rolls', 'Fruity/Spicy')"
"('smoked turkey with sweet coffee glaze', 'Specialty')"
"('latte with a difference', 'Roasty')"
"('chicken rice provencal', 'Malty')"
"('toffee crackers', 'Specialty')"
"('best potato salad ever', 'Crisp')"
"('different blue cheese dressing', 'Hoppy')"
"('low fat dilly chicken', 'Crisp')"
"('olive garden shrimp caprese', 'Fruity/Spicy')"
"('poblano potato salad', 'Hoppy')"
"('orange streusel coffee cake', 'Fruity/Spicy')"
"('low   slow pork shoulder', 'Malty')"
"('bistro sauce', 'Hoppy')"
"('buttermilk mixed flours bread', 'Malty')"
"('2 ingerdient orange slushies', 'Fruity/Spicy')"
"('crunchy noodle salad   award winning', 'Smoky')"
"('baba s three bean salad', 'Sour')"
"('olga type pita bread', 'Malty')"
"('angel hair pasta with creamy asparagus', 'Hoppy')"
"('no bake snickers cheese cake', 'Specialty')"
"('roasted garlic sauce', 'Hoppy')"
"('oven barbecue shrimp   sweet potato grits', 'Fruity/Spicy')"
"('kfc coleslaw  copycat', 'Hoppy')"
"('roasted asparagus and thyme', 'Hoppy')"
"('mustard lamb chops', 'Hoppy')"
"('garlic beef sandwich', 'Sour')"
"('corn and wild rice chowder', 'Malty')"
"('french dip beef sandwich', 'Hoppy')"
"('honey lemon glazed grilled chicken wings', 'Hoppy')"
"('applesauce cinnamon microwave mug cake', 'Malty')"
"('mango cucumber salad', 'Hoppy')"
"('crunchy onion layered salad with dilly dijon dressing', 'Malty')"
"('velvet  fudge', 'Roasty')"
"('raisin cream pie', 'Specialty')"
"('spicy orange stir fry sauce', 'Hoppy')"
"('sooz s green chile stew  mild to medium', 'Hoppy')"
"('batter for fish', 'Crisp')"
"('shepherd s pie revisited', 'Hoppy')"
"('ballymaloe brown bread  zwt 8', 'Roasty')"
"('french canadian meat pie', 'Malty')"
"('granola with variations', 'Malty')"
"('jamaica me crazy chili', 'Hoppy')"
"('orange flavoured rice pudding with orange cinnamon syrup', 'Fruity/Spicy')"
"('mini cheese and olive welsh rarebit bites for festive frolics', 'Fruity/Spicy')"
"('steff s shepherd s pie', 'Roasty')"
"('lamb and honey meatballs', 'Hoppy')"
"('lemon ginger cayenne tea', 'Fruity/Spicy')"
"('hungarian cabbage and chicken', 'Malty')"
"('strawberry relish', 'Hoppy')"
"('eggplant and green peppers sauteed with miso', 'Smoky')"
"('low fat sweet potato casserole', 'Specialty')"
"('tuna with ginger mushroom cream sauce', 'Hoppy')"
"('ginger butter', 'Fruity/Spicy')"
"('strawberry pie fast and easy', 'Crisp')"
"('yogurt cake', 'Hoppy')"
"('baked potato with rosemary', 'Sour')"
"('best baked corn   dean koontz', 'Malty')"
"('leftover rice made into spanish rice', 'Hoppy')"
"('gondi  iranian meatballs', 'Hoppy')"
"('mystery ice cream', 'Specialty')"
"('mika s buffalo alfredo lasagna', 'Fruity/Spicy')"
"('mom s homemade hot dog chili  or  sloppy joes', 'Hoppy')"
"('blueberry preserves', 'Malty')"
"('sea scallops with sauce meuniere', 'Hoppy')"
"('spicy southwestern vegetable soup', 'Hoppy')"
"('perfectly poached eggs', 'Malty')"
"('apple corned beef brisket for the slow cooker', 'Hoppy')"
"('uncle bill s best buckwheat pancakes', 'Malty')"
"('award winning chili with unusual twist', 'Hoppy')"
"('beef liver and rice stir fry', 'Hoppy')"
"('shrimp  corn   crab bisque', 'Crisp')"
"('easy refried beans  refritos', 'Hoppy')"
"('chicken gizzard paprikash', 'Malty')"
"('one minute flax muffin   low carb', 'Specialty')"
"('brownies from the pantry', 'Specialty')"
"('corn and potato chowder for masako', 'Hoppy')"
"('easy oven barbecued chicken', 'Fruity/Spicy')"
"('my  stuffed  peppers casserole', 'Smoky')"
"('dilled cucumber and tomato salad', 'Crisp')"
"('parmesan pull aparts', 'Fruity/Spicy')"
"('lomousin cherry pudding cake', 'Sour')"
"('reduced fat chicken  spinach   tomato pasta', 'Fruity/Spicy')"
"('chicken  vegetable spaghetti', 'Hoppy')"
"('crema di mascarpone  chilled cheese dessert', 'Specialty')"
"('mrs  zeger s chocolate passover cake', 'Roasty')"
"('avga gemista or greek stuffed eggs', 'Hoppy')"
"('ham asparagus gratin', 'Specialty')"
"('turkish baharat spice mix', 'Hoppy')"
"('ukoy  shrimp patty', 'Crisp')"
"('low fat chicken dippers', 'Malty')"
"('eggs hamilton', 'Hoppy')"
"('tyler florence s berry scones with orange honey butter', 'Fruity/Spicy')"
"('roulade of prosciutto  figs  stilton and goat cheeses with port', 'Fruity/Spicy')"
"('spicy fried pollock', 'Hoppy')"
"('cinnamon graham cracker cake', 'Specialty')"
"('summer fruit cobbler', 'Malty')"
"('biscuit topped steak pie', 'Hoppy')"
"('pesto pizza with artichokes and prosciutto', 'Fruity/Spicy')"
"('dumplings   gluten free', 'Malty')"
"('banana chocolate graham cracker dessert', 'Specialty')"
"('lemon marinade for chicken', 'Fruity/Spicy')"
"('strawberry daiquiri', 'Malty')"
"('chicken with balsamic bbq sauce', 'Malty')"
"('walnut chocolate fruit dip  raw food', 'Sour')"
"('peanut butter   pickles  step by step 4 kids', 'Sour')"
"('easy chocolate chocolate chip cake', 'Specialty')"
"('autumn pumpkin spice pancakes', 'Specialty')"
"('sweet and sour german spinach', 'Smoky')"
